,Filepath,0,1,2,3,4,5,6,7,8,9
1561,Keynote Address at the 54th National Prayer Breakfast.txt,one,god,percent,even,like,good,people,say,got,church
1562,"Keynote Address at the 56th CIBN Annual Bankers Dinner by Gov. Godwin Emefiele, CON.txt",percent,growth,economy,global,support,oil,financial,also,policy,bank
1563,"Keynote Address at the Annual Micro, Small and Medium Enterprises (MSMEs) Finance Conference & D-8 Workshop on Microfinance For Small and Medium Enterprises (SMEs).txt",financial,per,cent,cbn,small,also,msmes,medium,enterprises,access
1564,Keynote Address by HIS EXCELLENCY OLUSEGUN OBASANJO On the Occasion of the Formal Launching of the Nationwide Stakeholder Consultations on the NEEDS.txt,needs,development,strategy,also,consultation,private,nigerians,government,national,economic
1565,"Keynote Address by HMINO, Alh Mohammed Idris Malagi Fnipr, during The Annual Police PROs Conference, Uyo..txt",police,communication,must,law,nigeria,enforcement,officers,strategic,public,enhanced
1566,"Keynote Address by His Excellency, President Olusegun Obasanjo, GCFR At the Opening Ceremony of the  Conference on Bridging the Digital and Scientific Divide.txt",nigerian,diaspora,development,nigeria,nigerians,home,must,national,also,us
1567,"Keynote Address by Mr. Olayemi Cardoso, Governor, CBN, delivered at the CIBN 58th Annual Bankers� Dinner.txt",exchange,monetary,policy,economic,financial,market,percent,foreign,growth,nigeria
1568,"Keynote Address by Mr. Olayemi Cardoso, Governor, CBN, delivered at the Launch of the Nigerian Economic Summit Group (NESG) 2024 Macroeconomic Outlook Report..txt",economic,growth,outlook,policy,expected,global,exchange,nesg,fiscal,government
1569,"Keynote Address by Prof. Kingsley Chiedu Moghalu  Presidential Candidate of the Young Progressives Party (YPP)  Former Deputy Governor, Central Bank of Nigeria  To the 6th Annual Conference of the Nigerian Political Science Association  (Southeast)  At the University of Nigeria, Nsukka  29 October 2018.txt",nigeria,restructuring,government,national,central,country,state,federal,constitutional,states
1570,"Keynote Address delivered at the National Insurance Conference 2023, FCT Abuja..txt",insurance,industry,sector,nigeria,must,need,building,let,role,us
1571,"Keynote Speech Delivered by Dr. Akinwumi A. Adesina, President, African Development Bank Group, at the launch of the African Mayoral Leadership Initiative (AMALI), 23 January 2023.txt",cities,african,development,urban,million,bank,africa,support,greater,access
1572,Keynote Speech Delivered by Dr. Akinwumi A. Adesina.txt,cities,african,development,urban,million,bank,africa,support,greater,access
1573,"Keynote Speech at Annual State of the Net Conference - Jan. 28, 2008.txt",property,digital,internet,rights,like,piracy,global,must,policy,intellectual
1574,"Keynote Speech by Dr Akinwumi A. Adesina President, African Development Bank Group - 40th Anniversary of The Guardian Newspapers.txt",africa,african,development,billion,must,global,bank,countries,million,guardian
1575,"Keynote Speech by Dr Akinwumi A. Adesina, President of the African Development Bank Group, on the occasion of the 8th African Leadership Persons of the Year Award Investiture Johannesburg, Saturday, 29 February 2020.txt",africa,african,must,development,people,bank,award,million,growth,president
1576,"Keynote Speech by the DG NBC Malam Balarabe Shehu Ilelah during the Annual Conference of the Association of Communication Scholars and Professionals of Nigeria (ACSPN) 2022 August 31, 2022 at Rock View Hotel, Abuja.txt",nigeria,broadcasters,public,media,also,broadcasting,broadcast,freedom,communication,scholars
1577,"Kids First - May 3, 2005.txt",children,health,thank,senator,healthcare,nigeria,lagos,senate,priority,care
1578,"King's receives £10million donation to empower young people in Africa to Access Education SPEECHES, NEWS, LAW, FUNDING, EDUCATION  DECEMBER 21, 2022.txt",education,university,aare,african,london,access,programme,babalola,centre,young
1579,"Kogi Polls: APC Plotting To Unleash Violence, PDP Cries Out.txt",melaye,justice,face,democracy,commitment,fight,electoral,political,citizens,resilience
1580,Kwara Gov welcomes Onikijipa’s emergence as new TUC chair.txt,governor,alhaji,onikijipa,new,tuc,state,abdulrahman,abdulrazaq,chairman,union
1581,Kwara House Warns Hoteliers To Desist From Organizing Nude Parties.txt,state,nude,parties,hotels,government,house,followed,raised,kwara,would
1582,"Kwara State University Commencement Address - June 10, 2012.txt",america,american,always,great,need,ohio,get,state,class,world
1583,Kwara To Tackle Power Issues With Deploy Solar Energy.txt,energy,governor,ahmed,otunba,akintola,government,supply,solar,light,state
1584,Kwara state government has secured another investment in agriculture to the state as part of efforts to turn the state to agricultural hub in the North central part of the country and provide sustainable employment for the youths..txt,state,bank,agriculture,industry,according,farming,farmers,governor,mr,dr
1585,"Kwara, a shining example in 3 Million Tech Talents’ campaign: FG.txt",digital,state,kwara,support,governor,said,economy,minister,innovation,training
1586,Kwibuka 30 | Address by President Kagame.txt,us,even,also,rwanda,never,people,many,genocide,asked,rwandans
1587,LAGESC APPREHENDS FIVE-MAN SYNDICATE FOR EXTORTING PEDESTRIANS IN LAGOS.txt,lagos,corps,kai,suspects,lagosians,state,environmental,trade,fair,bus
1588,LAGOS AGRIC COMMISSIONER PRINCE GBOLAHAN LAWAL EMERGES ONIRU-ELECT.txt,lagos,state,prince,lawal,gbolahan,also,development,honourable,food,governor
1589,LAGOS DSVA HOLDS COMMUNITY ENGAGEMENT IN KETU.txt,sgbv,reporting,agency,community,awareness,lagos,sexual,violence,oba,menace
1590,"LAGOS INAUGURATES SECOND INTRA-CITY RAIL LINE, SET TO MOVE 250,000 PASSENGERS DAILY.txt",rail,red,lagos,line,state,first,said,vision,transport,president
1591,LAGOS KICKS-OFF INTERNATIONAL COOPERATIVES DAY CELEBRATION.txt,july,cooperative,cooperatives,partnership,effective,lagos,state,celebration,commissioner,movement
1592,LAGOS ORGANISES 2024 RESILIENCE FORUM .txt,resilience,lagos,state,economic,forum,development,emphasised,importance,collective,collaborative
1593,LAGOS SEALS PARTNERSHIP WITH NIGER FOR AGRIC COMMODITIES SUPPLIES.txt,lagos,food,state,agricultural,niger,largest,production,two,states,supply
1594,LAGOS STATE JUDICIARY TRAINS NEWLY APPOINTED HIGH COURT JUDGES.txt,lagos,state,judicial,judiciary,induction,newly,appointed,judges,justice,chief
1595,"LAGOS TASKFORCE LAUNCHES “SEE SOMETHING, SAY SOMETHING” CAMPAIGN.txt",agency,social,lagos,state,akerele,members,media,environmental,chairman,csp
1596,LAGOS TO COLLABORATE WITH META PLATFORM TO DEEPEN DIGITAL SPACE .txt,lagos,meta,state,technology,platform,businesses,governor,clegg,help,work
1597,LASG CALLS FOR CALM AFTER SEVERAL HOURS OF TORRENTIAL RAINFALL.txt,state,lagos,residents,since,hours,commissioner,water,daily,areas,also
1598,LASG COMMITTED TO HARNESS WATERWAYS POTENTIAL TO BOOST WATER TOURISM.txt,lagos,state,waterways,event,fuji,safety,government,enhancing,boost,water
1599,"LASG PLANNING TO ESTABLISH SOVEREIGN INVESTMENT FUND, SAYS SANWO-OLU.txt",lagos,state,sovereign,planning,investment,fund,core,infrastructural,investments,city
1600,LASG REFUNDS 145 FORMER SUBSCRIBERS OF EGAN HOUSING ESTATE.txt,subscribers,housing,state,estate,permanent,government,various,ministry,toriola,genuine
1601,LASHMA SUPPORTS ILERA EKO PRIVATE PROVIDERS WITH ELECTRONIC MEDICAL RECORD SOFTWARE.txt,emr,health,ilera,eko,private,said,facilities,medical,software,enrollees
1602,LASPA ISSUES STERN WARNING AGAINST ILLEGAL CAR PARKING IN  LAGOS.txt,parking,illegal,unauthorised,lagos,state,adelabu,car,risks,facilities,public
1603,"LASPARK, SAFETY COMMISSION PARTNER ON FIRST AID, EMERGENCY RESPONSE TRAINING.txt",emergency,safety,response,lagos,preparedness,training,first,aid,public,state
1604,LAWMA ACADEMY COMMENCES JULY INTERNSHIP.txt,waste,management,education,interns,environmental,lawma,lagos,welcomed,new,graduate
1605,"LCCI STATEMENT ON PRESIDENT TINUBU’S DEMOCRACY DAY SPEECH, 12TH JUNE 2024.txt",economic,support,democracy,democratic,social,government,reforms,ensure,progress,remain
1606,"LECTURE DELIVERED BY HIS EXCELLENCY, PROF. YEMI OSINBAJO, SAN, GCON, THE IMMEDIATE PAST VICE PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA AT THE ACCESS BANK’S GUEST LECTURE SERIES THEMED “THE FUTURE OF WORK AND ADAPTING TO A CHANGING LANDSCAPE” IN LAGOS ON THE 28TH OF MARCH, 2024.txt",countries,gas,ai,global,one,financial,africa,climate,oil,hydrogen
1607,"LECTURE DELIVERED BY HIS EXCELLENCY, PROF. YEMI OSINBAJO, SAN, GCON, THE IMMEDIATE PAST VICE PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA AT THE ACCESS BANK’S GUEST LECTURE SERIES THEMED “THE FUTURE OF WORK AND ADAPTING TO A CHANGING LANDSCAPE”.txt",countries,gas,ai,global,one,financial,africa,climate,oil,hydrogen
1608,"LENCY, MUHAMMADU BUHARI, PRESIDENT AND COMMANDER IN CHIEF OF THE ARMED FORCES OF THE FEDERAL REPUBLIC OF NIGERIA DELIVERED BY HIS EXCELLENCY, PROF. YEMI OSINBAJO, SAN, GCON, VICE PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA .txt",nigerian,people,indeed,family,nigeria,history,social,us,lives,always
1609,LET'S RE-BUILD TOGETHER by Olusegun Obasanjo.txt,let,great,us,nigeria,national,presidential,party,pdp,people,democratic
1610,LETTER FROM FEDERAL MINISTRY OF EXTERNAL AFFAIRS ON BAKASSI.txt,cameroun,republic,embassy,map,part,ministry,foreign,affairs,cross,river
1611,LETTER FROM LT COL OJUKWU TO LT COL BANJO.txt,people,nigeria,biafra,biafran,liberation,western,yorubaland,military,federation,part
1612,LETTER FROM VICTOR BANJO TO AQUIYI IRONSI  JUNE 1966.txt,army,officers,one,arrest,january,military,kirikiri,colleagues,soldiers,facts
1613,"LETTER TO THE NEXT GENERATION BY TONY O. ELUMELU, CON ON DECEMBER 3, 2017..txt",must,us,politics,economic,may,public,power,people,leaders,best
1614,LGBT: Knocks As Nigeria Signs $150 Billion Samoa Deal.txt,agreement,nigeria,samoa,said,sign,signed,african,lgbt,nigerian,republic
1615,"LT. COL. GOWON'S BROADCAST TO THE NATION  AUGUST 01, 1966..txt",country,army,members,military,shall,government,armed,forces,majority,supreme
1616,Labor and the Nation.txt,labor,industrial,workers,steel,industry,political,millions,national,committee,organization
1617,Lagos 2022: Building a Better Tomorrow.txt,budget,lagos,investments,improve,access,healthcare,development,like,enhance,quality
1618,Lagos 2023: Building Our Future Together.txt,lagos,like,also,let,us,embark,journey,growth,challenges,efforts
1619,"Lagos Law School Commencement Address - May 25, 2023.txt",going,people,also,think,make,new,right,world,know,rights
1620,"Lagos State University Commencement Address - Nov. 20, 2021.txt",little,people,change,world,us,need,today,know,state,like
1621,Lagos a state of Flood 2021.txt,climate,lagos,floods,flooding,city,coastal,heavy,told,water,sea
1622,Lai Mohammed Full Speech At The 2018 Creative Industry Summit..txt,content,creative,media,tv,industry,television,video,nigeria,want,percent
1623,"Lakwe Disaster - Sept. 26, 2008.txt",lakwe,let,need,thank,caribbean,million,help,assistance,move,also
1624,Language_Ideology_and_Power_Relations_in.txt,headlines,nigerian,newspaper,may,march,day,issues,august,june,national
1625,"Late President Umaru Musa Yar‘Adua, on the Proclamation of Amnesty for Niger Delta Militants 25th June, 2009.txt",niger,delta,amnesty,militants,federal,militancy,whereas,persons,development,republic
1626,"Launch Of Books On Muhammadu Buhari Titled – Working With Buhari: Reflections Of A Special Adviser, Media & Publicity (2015-2023),’ And ‘Muhammadu Buhari: The Nigerian Legacy (2015 – 2023)’.txt",president,adesina,memoir,femi,one,often,personal,offers,despite,sense
1627,Launch Of Virginia Tech – Nigerian Bowen Equatorial Aeronomy Radar (VT-NigerBEAR).txt,superdarn,space,nigeria,data,also,network,research,bowen,global,communications
1628,"Launch of Anjia Cement Factory | Remarks by President Kagame | Muhanga, 3 August 2023.txt",thank,cement,west,china,join,anjia,would,like,republic,us
1629,"Launching New Affordable Health Care - Oct. 29, 2009.txt",affordable,health,healthcare,women,insurance,choices,act,companies,never,gender
1630,Leadership and Governance for the Challenges of the 21st Century.txt,young,people,world,sustainable,climate,global,also,society,youth,human
1631,"Leading by Example: Empowering the Next Generation of Nigerian Women - Sept. 30, 2007.txt",women,us,world,even,woman,great,people,every,desire,open
1632,Leading by Example:My Leadership Principles..txt,king,leaders,also,work,banigo,must,people,leadership,trust,believe
1633,Leading by Example:My Leadership Principles.txt,king,leaders,also,work,banigo,must,people,leadership,trust,believe
1634,"Learning from my life story, By Femi Otedola.txt",university,chancellor,augustine,god,students,also,engineering,million,help,faculty
1635,"Leisure"" — A poem by W. H. Davies.txt",time,stand,full,hope,find,make,like,life,hey,finding
1636,Let us continue.txt,us,dream,let,one,act,time,need,national,seek,must
1637,"Letter from Nelson Mandela to FW de Klerk during the Conference to Commemorate the 20th Anniversary of the Speech to Parliament that Opened the Way to South Africa’s Constitutional Transformation: 20 Years after 2 February 1990: Looking Back, Looking Forward, Council Chambers, Civic Centre Cape Town South Africa 2 February 2010.txt",february,since,us,momentous,days,dear,approach,end,start,new
1638,Letter from Nelson Mandela to Professor Kader Asmal on Prof Kader Asmal's 75th birthday 30 January 2010.txt,congratulations,many,knowledge,birthday,also,thank,dear,celebration,wish,healthy
1639,Letter from Victor Banjo to Aguiyi Ironsi By Lt Colonel Victor A Banjo.txt,army,officers,one,major,military,arrest,january,federal,prisons,colonel
1640,Letter of Felicitations – President Buhari.txt,nigeria,chinese,china,year,new,since,bilateral,countries,people,support
1641,"Let’s Work To Promote Love, Mutual Respect, Peace And Tolerance In Nigeria #EidMubarak Atiku Abubakar Atiku Abubakar.txt",life,eid,us,social,time,corona,virus,economic,muslims,country
1642,"Let’s Work To Promote Love, Mutual Respect, Peace And Tolerance In Nigeria #EidMubarak.txt",life,eid,us,social,time,corona,virus,economic,muslims,country
1643,Life lessons from sports with Jody Avirgan..txt,really,kind,think,like,sort,sports,people,get,one,team
1644,Lifestyle changes that play a pivotal role in effective pain management.txt,chronic,pain,like,managing,individuals,effective,physical,approach,persistent,lifestyle
1645,Live Within Five Miles.txt,percent,nigeria,one,said,know,ever,nigerians,go,days,nigerian
1646,Lt-General Olusegun Obasanjo's Address After the Execution of Officers Involved in the Failed Dimka Coup – May 1976.txt,government,military,yakubu,public,abortive,coup,british,nigerian,council,federal
1647,Lt-General Olusegun Obasanjo's Address Following the Execution of Officers Involved in the Failed Dimka Coup – May 1976.txt,government,military,yakubu,public,abortive,coup,british,nigerian,council,federal
1648,Lt-General Olusegun Obasanjo's Speech Following the Execution of Officers Involved in the Failed Dimka Coup – May 1976.txt,government,military,yakubu,public,abortive,coup,british,nigerian,council,federal
1649,Lt. Col. David Ejoor Addresses Leaders of Thought in the Mid-West..txt,midwest,states,delegation,country,region,new,present,right,would,state
1650,Lt. Col. Murtala Mohammed Addresses Mid-West on Recapture of Benin.txt,state,federal,rebel,troops,people,nigeria,brothers,sisters,military,may
1651,Lt.-Col. Effiong Announces Surrender of Biafra.txt,chief,government,people,mr,suffering,help,military,armed,forces,thank
1652,Lt.-Col. Murtala Mohammed Addresses Mid-West on Recapture of Benin.txt,state,federal,rebel,troops,people,nigeria,benin,brothers,sisters,military
1653,Lyndon Baines Johnson  Let Us Continue.txt,us,let,dream,one,act,time,need,national,united,john
1654,Lynn Woolsey.txt,woolsey,served,member,house,university,san,college,also,california,committee
1655,MAKE GENDER EQUALITY HAPPEN FOR WOMEN IN 2015 GENERAL ELECTIONS IN NIGERIA.txt,women,nigerian,candidates,gender,electoral,nigeria,equality,call,government,issues
1656,MAKE IT HAPPEN: USE WHAT WE MAKE. MAKE WHAT WE USE.txt,nigeria,one,nigerian,film,films,story,years,made,first,world
1657,MAKINDE INAUGURATES TASKFORCE TO STAMP OUT HUMAN TRAFFICKING.txt,state,trafficking,taskforce,governor,oyo,human,seyi,makinde,called,representative
1658,MATING CALL TO MY SOULMATE .txt,love,call,mating,really,waste,perhaps,undone,much,read,could
1659,"METHODOLOGY WORKSHOP ON POST-ELECTION SURVEY ON THE TOPIC: DYNAMICS OF VOTERS APATHY AND VOTE BUYING IN THE 2022 EKITI GOVERNORSHIP ELECTION HELD AT FABIAN HOTEL COUNTRY HOME HOTEL, ADO-EKITI ON 9TH AUGUST, 2022..txt",participants,survey,electoral,ekiti,commission,state,workshop,tei,general,dr
1660,"MKO Abiola's Full Speech Which Led To His Arrest By Nigeria’s Late Military Dictator, Sani Abacha.txt",people,rule,nigeria,military,minority,federal,say,majority,government,national
1661,"MR AKINWUNMI AMBODE ON THE OCCASION OF THE SECOND QUARTERLY TOWN HALL MEETING IN YEAR 2018 ""THE ELEVENTH IN THE SERIES"" HELD AT APAPA AMUSEMENT PARK ON TUESDAY APRIL 17, 2018..txt",lagos,state,residents,road,across,also,government,make,security,suggestions
1662,MR PRIME MINISTER- THREE REQUISITES.txt,government,military,nigerian,ofthe,service,council,forces,nigeria,defence,house
1663,MR PRIME MINISTER-MINISTERIAL GOVERNMENT.txt,would,government,commonwealth,united,office,mr,house,kingdom,ofthe,land
1664,"MR. AKINWUNMI AMBODE ON THE SECURITY SITUATION IN LAGOS STATE ON 30TH SEPTEMBER, 2018.txt",lagosians,last,reports,primary,lagos,security,political,fellow,october,marks
1665,"MR. AKINWUNMI AMBODE, GOVERNOR OF LAGOS STATE AT THE OFFICIAL COMMISSIONING OF IKEJA BUS TERMINAL, IKEJA ON 29TH MARCH 2018.txt",lagos,transport,bus,people,new,phase,infrastructure,system,support,buses
1666,MR. OLAYEMI CARDOSO SPEECH AT THE HANDOVER OF FERTILIZER TO THE MINISTRY OF AGRICULTURE AND FOOD SECURITY .txt,food,price,ministry,inflation,central,bank,nigeria,agriculture,stability,towards
1667,MSHA Assistant Secretary Chris Williamson Speech to United Mine Workers of America 56th Consecutive Constitutional Convention.txt,miners,mine,msha,health,coal,silica,safety,work,mining,many
1668,MULTILINGUAL EDUCATION – A NECESSARY TOOL FOR EDUCATIONAL TRANSFORMATION IN NIGERIA By Prof. Chinwe Anunobi.txt,languages,indigenous,language,preservation,instruction,education,preserving,multilingual,mother,tongue
1669,MY PLANS TO PROMOTE GENDER EQUALITY AND WOMEN EMPOWERMENT..txt,women,politics,need,first,support,may,help,nigerian,interest,taking
1670,MY SPEECH AT THE AKWA IBOM DIALOGUE AND THE FORMAL LAUNCH OF THE A.R.I.S.E. AGENDA.txt,ibom,state,provide,people,akwa,great,arise,across,dear,agenda
1671,"Mahatma Gandhi - ""Quit India"" Speech (1942).txt",give,shall,short,may,imprint,hearts,let,every,breath,expression
1672,Maiden General Assembly Statement at the United Nations.txt,nations,united,nigeria,country,would,african,must,countries,world,many
1673,"Maiden Speech of Brigadier Murtala Ramat Muhammed, July 29, 1975.txt",chief,general,government,brigadier,new,armed,also,federal,colonel,council
1674,"Maiden Speech of General Sani Abacha – November 17, 1993.txt",hereby,head,national,government,chief,state,problems,armed,take,country
1675,Maiden Speech of General Sani Abacha – November 17.txt,hereby,head,national,government,chief,state,problems,armed,take,country
1676,"Maiden Speech of Major-General Ibrahim Babangida – August 27 , 1985.txt",government,economic,shall,must,international,problems,made,military,became,us
1677,Maiden Speech of Major-General Ibrahim Babangida – August 27.txt,government,economic,shall,must,international,problems,made,military,became,us
1678,"Maiden Speech of Major-General Muhammadu Buhari. January 1, 1984. .txt",federal,government,military,state,political,financial,nation,armed,republic,last
1679,"Maiden Speech of Major-General Muhammadu Buhari. January 1, 1984..txt",federal,government,military,state,political,financial,nation,armed,republic,last
1680,Maiden Speech of Major-General Muhammadu Buhari. January 1.txt,federal,government,military,state,political,financial,nation,armed,republic,last
1681,"Maiden Speech on House Floor - January 15, 2013.txt",lagos,debt,truth,thank,people,want,national,time,work,future
1682,"Major Chukwuma Kaduna Nzeogwu – announcing Nigeria’s first military coup on Radio Nigeria, Kaduna on January 15, 1966..txt",military,supreme,local,council,every,punishable,sentence,citizen,revolution,nigerian
1683,"Major Chukwuma Kaduna Nzeogwu’s Radio Announcement of Nigeria’s First Military Coup – January 15, 1966.txt",military,supreme,local,council,every,punishable,sentence,citizen,revolution,nigerian
1684,Major General Yakubu Gowon Declaring a Twelve State Structure for Nigeria – May 1967.txt,military,states,federal,eastern,country,state,new,government,region,comprising
1685,"Major Hassan Katsina's Address on January 18, 1966.txt",government,must,past,common,native,public,military,new,intention,need
1686,Major Okonkwo Announces Establishment of the Republic of Benin.txt,whereas,republic,people,nigeria,northern,government,territory,war,support,association
1687,Major Okonkwo's Address to Mid-West.txt,government,people,lagos,us,know,support,take,refuse,territory,used
1688,"Major-General Ibrahim Babangida – August 27 , 1985.txt",government,economic,shall,must,international,problems,made,military,became,us
1689,"Major-General Muhammadu Buhari's Maiden Speech – January 1, 1984**.txt",federal,government,military,state,political,financial,nation,armed,republic,last
1690,"Major-General Muhammadu Buhari. January 1, 1984. .txt",federal,government,military,state,political,financial,nation,armed,republic,last
1691,Major-General Yakubu Gowon’s Speech Announcing Nigeria's Twelve State Structure – May 1967.txt,military,states,federal,eastern,country,state,new,government,region,comprising
1692,Make Feminism an Inclusive Party.txt,would,lagos,make,state,always,told,knew,university,mother,want
1693,Make Your Bed delivered by ADMIRAL WILLIAM H. MCRAVEN.txt,one,change,seal,training,every,world,day,boat,students,want
1694,"Making Nigeria a Global Industrial and Economic Giant  Keynote Lecture Delivered by Dr. Akinwumi A. Adesina, President, African Development Bank Group.txt",nigeria,manufacturing,industrial,power,global,investment,export,development,industries,skills
1695,"Making a New Nigeria:  Welfarist Policies and People-Centered Development  Lecture Delivered by  Dr. Akinwumi A. Adesina, CON  President, African Development Bank Group  Award of the Obafemi Awolowo Prize for Leadership  6 March 2024..txt",nigeria,would,rural,health,must,president,development,african,africa,chief
1696,Making good on the right to a healthy environment.txt,human,environmental,rights,right,healthy,must,biodiversity,unep,environment,need
1697,Malaika analysis by Odolaye Bàá Waki Aremu.txt,like,dude,looks,well,one,way,also,mouth,look,window
1698,Malala Yousafzai - Nobel Peace Prize Acceptance Speech (2014).txt,tell,brave,story,many,stories,brought,sisters,nigeria,syria,share
1699,"March 26, 2022: Remarks in Support of the People of Nigerian..txt",message,nigeria,military,battle,people,russia,russian,thank,first,would
1700,March 30.txt,constitution,house,treaty,united,states,papers,treaties,great,making,consent
1701,"March for Life - January 27, 2017.txt",planned,thank,god,today,bless,know,redirect,health,parenthood,president
1702,Margaret Thatcher  Address to a Joint Session of Congress  delivered 20 February 1985.txt,africa,national,us,peace,one,nnamdi,nigeria,members,occasions,three
1703,"Margaret Thatcher  The Lady's Not For Turning  delivered 10 October 1980, Conservative Party Conference, Brighton.txt",must,people,us,promoting,government,great,way,public,let,many
1705,Margaret Thatcher's Tribute to Ronald Reagan..txt,oluwole,great,nigeria,ifagbemi,also,life,world,never,one,nigerian
1706,Marguerite Willis.txt,willis,south,university,marguerite,democratic,candidate,governor,carolina,born,raised
1707,Marianne Williamson.txt,williamson,marianne,democratic,course,lecturer,candidate,president,united,born,july
1708,"Mark Anthony Welsh III  Campus Muster Ceremony Keynote Address  delivered 21 April 2022, Reed Arena, College Station, TX.txt",unilorin,one,remembrance,dad,university,also,class,things,time,like
1709,Mark Cuban doesn’t believe in following your passions.txt,get,gonna,people,one,like,able,think,cost,make,go
1710,Mark Twain's Votes for Women Speech..txt,much,would,hundred,plate,women,help,say,makes,appeal,years
1711,"Mark Zuckerberg’s full commencement address at Harvard, the school he left to start Facebook.txt",people,one,get,everyone,know,sense,world,purpose,create,going
1712,"Marriage and Divorce - Aug. 18, 1871.txt",one,marriage,would,man,new,divorce,may,every,woman,men
1713,Martin Luther King I Have a Dream 1963.txt,shall,dream,one,day,made,little,black,boys,girls,white
1714,"Martin Luther King Jr. - ""I Have a Dream"" (1963).txt",dream,say,even,though,face,difficulties,today,still,deeply,rooted
1715,Martin Luther King Jr.'s 'I Have a Dream'.txt,freedom,negro,one,day,come,let,dream,back,must,go
1716,Martin Luther King's Visit to Nigeria for Nnamdi Azikiwe's Inauguration and Its Impact on the American Civil Rights Movement.txt,azikiwe,african,king,nigeria,first,november,traveled,inauguration,president,university
1717,Mastering Personal Finance: The Art of Expense Categorisation.txt,financial,expenses,categorising,personal,money,spending,identify,savings,expense,priorities
1718,"May 31, 2024: Remarks on the Middle East.txt",nigeria,boko,would,haram,nigerian,borno,people,abductees,phase,deal
1719,May Day: President Bola Tinubu’s speech.txt,labour,great,every,nation,government,assure,minimum,fellow,day,contributions
1720,"Media briefing by Nelson Mandela announcing the Johannesburg 46664 concert, Johannesburg 1 October 2007.txt",aids,concert,hiv,thank,good,see,happy,well,great,held
1721,"Message Regarding Finances and Fiscal Policy March 25, 1842.txt",without,public,treasury,would,upon,national,government,condition,country,present
1722,Message Regarding Presidential Election.txt,questions,country,constitution,one,two,provide,votes,decision,means,history
1723,"Message Regarding the Presence of Troops in Lagos March 1, 1861.txt",president,troops,upon,city,resolution,public,inauguration,ordered,peace,select
1724,"Message Regarding the Slave Trade February 20, 1845.txt",policy,crew,slave,nigerian,vessel,put,british,upon,means,suppress
1725,Message by Nelson Mandela at NMCF Annual Children's Celebration 9 July 2008.txt,youth,children,fund,special,us,today,would,members,president,mrs
1726,Message by Nelson Mandela on ANC Election Manifesto launch 10 January 2009.txt,people,ninety,organisation,african,national,celebrates,seven,years,exceptional,leadership
1727,Message by Nelson Mandela on anniversary of 10 years of democracy in South Africa 15 April 2004.txt,democracy,may,decade,many,people,life,democratic,country,every,nigeria
1728,Message by Nelson Mandela to 2008 National Youth Festival 25 June 2008.txt,democracy,youth,today,people,lives,freedom,nigeria,encouraging,know,throughout
1729,"Message by Nelson Mandela to Conference on conservation of Korea's Demilitarised Zone, Seoul, Korea 14 July 2004.txt",peace,park,kim,human,dmz,across,concept,fear,president,dae
1730,"Message by Nelson Mandela to Mo Ibrahim Foundation Awards ceremony, Alexandria, Egypt 26 November 2007.txt",us,continent,award,grant,important,would,continental,african,ruins,could
1731,"Message by Nelson Mandela to the 52nd National Conference of the African National Congress (ANC), Polokwane 16 December 2007.txt",people,organisation,national,decisions,always,differences,could,president,gather,conference
1732,Message by Nelson Mandela to the Conference for the Disabled 4 April 2004.txt,equality,human,special,disabled,rights,may,us,period,celebrating,decade
1733,Message by President Nelson Mandela on the International Day of Solidarity with the Palestinian People delivered by Foreign Minister Alfred Nzo 25 November 1998.txt,palestinian,peace,people,president,international,solidarity,support,middle,south,arafat
1734,Message of support from Nelson Mandela to the Ghanian football team before the quarter finals match at the FIFA 2010 World Cup.txt,mr,stephen,keshi,president,nigeria,football,association,protea,hotel,lagos
1735,"Message of the WHO Regional Director for Africa, Dr Matshidiso Moeti.txt",women,african,leadership,health,rights,gender,investing,young,partners,stakeholders
1736,Message on Threats to the Peace and Existence of the Union.txt,president,troops,upon,city,resolution,public,inauguration,ordered,peace,select
1737,Message on the Capture of the Wildfire.txt,congress,may,captured,negroes,nigeria,agent,act,slave,coast,marshal
1738,"Mia Hamm  National Soccer Hall of Fame Induction Address  delivered 27 August 2007, Oneonta, New York.txt",thank,many,see,us,much,one,want,always,wonderful,say
1739,Michelle Yeoh addresses the Harvard Law School Class of 2023.txt,every,knew,film,one,want,everything,community,leap,stay,love
1740,Mildred Wood.txt,learning,wood,disabilities,university,iowa,education,degree,pioneer,special,state
1741,"Minority Media Ownership - July 19, 2005.txt",minority,media,digital,internet,community,television,access,telecommunications,legislation,spectrum
1742,Mississippi Testimony by Brandon Boulware.txt,daughter,play,go,one,get,let,thing,wear,wanted,child
1743,"Mobile World Congress 2023 | Opening Remarks by President Kagame | Kigali, 17 October 2023.txt",thank,mobile,new,support,digital,also,many,africa,world,happy
1744,Mohammed  Ali - Get ready to meet God.txt,going,years,believe,get,make,many,made,god,told,man
1745,"Motunrayo Gbadamosi Address to a Joint Meeting of the Nigeria Congress  delivered 11 April 2024, House of Representatives, Surulere, D.C..txt",japan,united,japanese,world,thank,new,global,alliance,would,international
1746,Mr President’s Address at the Inaugural Meeting of the Presidential Committee on Fiscal Policy and Tax Returns.txt,government,tax,committee,fiscal,within,revenue,country,support,policy,end
